Datetime,Producción Planta,Vertido,Consumo Red,Autoconsumo,Energy Consumption kWh
2020-01-01 00:00:00,0.0,0.0,110.0,0.0,110.0
2020-01-01 01:00:00,0.0,0.0,111.0,0.0,111.0
2020-01-01 02:00:00,0.0,0.0,109.0,0.0,109.0
2020-01-01 03:00:00,0.0,0.0,114.0,0.0,114.0
2020-01-01 04:00:00,0.0,0.0,112.0,0.0,112.0
2020-01-01 05:00:00,0.0,0.0,112.0,0.0,112.0
2020-01-01 06:00:00,0.0,0.0,111.0,0.0,111.0
2020-01-01 07:00:00,0.0,0.0,113.0,0.0,113.0
2020-01-01 08:00:00,0.0,0.0,112.0,0.0,112.0
2020-01-01 09:00:00,619.0,540.0,10.0,79.0,89.0
2020-01-01 10:00:00,2646.0,2540.0,0.0,106.0,106.0
2020-01-01 11:00:00,3018.0,2913.0,0.0,105.0,105.0
2020-01-01 12:00:00,2871.0,2769.0,0.0,102.0,102.0
2020-01-01 13:00:00,2773.0,2661.0,0.0,112.0,112.0
2020-01-01 14:00:00,2916.0,2793.0,0.0,123.0,123.0
2020-01-01 15:00:00,2352.0,2274.0,0.0,78.0,78.0
2020-01-01 16:00:00,3020.0,2915.0,0.0,105.0,105.0
2020-01-01 17:00:00,1459.0,1373.0,0.0,86.0,86.0
2020-01-01 18:00:00,54.0,28.0,71.0,26.0,97.0
2020-01-01 19:00:00,0.0,0.0,107.0,0.0,107.0
2020-01-01 20:00:00,0.0,0.0,109.0,0.0,109.0
2020-01-01 21:00:00,0.0,0.0,104.0,0.0,104.0
2020-01-01 22:00:00,0.0,0.0,112.0,0.0,112.0
2020-01-01 23:00:00,0.0,0.0,110.0,0.0,110.0
2020-01-02 00:00:00,0.0,0.0,112.0,0.0,112.0
2020-01-02 01:00:00,0.0,0.0,113.0,0.0,113.0
2020-01-02 02:00:00,0.0,0.0,114.0,0.0,114.0
2020-01-02 03:00:00,0.0,0.0,115.0,0.0,115.0
2020-01-02 04:00:00,0.0,0.0,113.0,0.0,113.0
2020-01-02 05:00:00,0.0,0.0,116.0,0.0,116.0
2020-01-02 06:00:00,0.0,0.0,113.0,0.0,113.0
2020-01-02 07:00:00,0.0,0.0,111.0,0.0,111.0
2020-01-02 08:00:00,0.0,0.0,118.0,0.0,118.0
2020-01-02 09:00:00,403.0,318.0,10.0,85.0,95.0
2020-01-02 10:00:00,2337.0,2230.0,0.0,107.0,107.0
2020-01-02 11:00:00,2904.0,2791.0,0.0,113.0,113.0
2020-01-02 12:00:00,2580.0,2470.0,0.0,110.0,110.0
2020-01-02 13:00:00,2391.0,2262.0,0.0,129.0,129.0
2020-01-02 14:00:00,2807.0,2633.0,0.0,174.0,174.0
2020-01-02 15:00:00,3025.0,2838.0,0.0,187.0,187.0
2020-01-02 16:00:00,2604.0,2432.0,0.0,172.0,172.0
2020-01-02 17:00:00,1308.0,1235.0,0.0,73.0,73.0
2020-01-02 18:00:00,39.0,18.0,82.0,21.0,103.0
2020-01-02 19:00:00,0.0,0.0,110.0,0.0,110.0
2020-01-02 20:00:00,0.0,0.0,111.0,0.0,111.0
